epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2942.18,2.60841,1.83294,1.24859,0.30808,0.36513,0.23675,0.05829,2.65421,1.81961,1.25417,0.0014588,0.0014588,0.0014588
43,3009.01,2.60698,1.87526,1.27948,0.34811,0.34992,0.25093,0.06137,2.71448,1.77845,1.28772,0.0014456,0.0014456,0.0014456
44,3082.61,2.62328,1.84938,1.26196,0.25306,0.34018,0.17819,0.04192,2.7169,1.90414,1.27237,0.0014324,0.0014324,0.0014324
45,3154.72,2.6213,1.88027,1.27218,0.33228,0.37385,0.25226,0.06114,2.67221,1.81118,1.26903,0.0014192,0.0014192,0.0014192
46,3228.08,2.6252,1.86293,1.2665,0.31156,0.37987,0.24454,0.05904,2.65663,1.86764,1.2565,0.001406,0.001406,0.001406
47,3295.39,2.60282,1.87025,1.27758,0.32541,0.34383,0.23442,0.05979,2.69614,1.79859,1.27808,0.0013928,0.0013928,0.0013928
48,3365.83,2.59948,1.85047,1.26361,0.31245,0.36297,0.23201,0.05644,2.64749,1.83745,1.25677,0.0013796,0.0013796,0.0013796
49,3430.6,2.60536,1.82736,1.25272,0.3525,0.37209,0.2657,0.06536,2.67434,1.74995,1.27409,0.0013664,0.0013664,0.0013664
50,3491.86,2.59812,1.85982,1.26851,0.33346,0.36533,0.25101,0.06115,2.6701,1.77044,1.26736,0.0013532,0.0013532,0.0013532
51,3558.2,2.60709,1.86104,1.26284,0.33734,0.36993,0.25643,0.06272,2.65056,1.78455,1.25418,0.00134,0.00134,0.00134
52,3625.86,2.61761,1.84732,1.25719,0.333,0.3867,0.26202,0.06493,2.66705,1.76927,1.27417,0.0013268,0.0013268,0.0013268
53,3695.46,2.59718,1.85156,1.2627,0.30632,0.38051,0.24213,0.05993,2.63889,1.87821,1.25397,0.0013136,0.0013136,0.0013136
54,3767.28,2.61297,1.84469,1.26389,0.33262,0.37791,0.25863,0.06394,2.66046,1.83155,1.26603,0.0013004,0.0013004,0.0013004
55,3832.9,2.62757,1.86071,1.27519,0.34395,0.36993,0.25628,0.06285,2.69045,1.7532,1.27258,0.0012872,0.0012872,0.0012872
56,3906.86,2.58181,1.8331,1.24373,0.35148,0.375,0.26482,0.06514,2.66191,1.78326,1.2625,0.001274,0.001274,0.001274
57,3971.94,2.60845,1.82453,1.25923,0.32928,0.35763,0.24549,0.06177,2.64329,1.78147,1.25716,0.0012608,0.0012608,0.0012608
58,4044.55,2.61232,1.83967,1.26861,0.33246,0.39028,0.26165,0.0654,2.62173,1.75,1.25346,0.0012476,0.0012476,0.0012476
